Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
2023,195,Alabama Power Co,A,Bundled,O,AL,Investor Owned,SOCO,2761434,17365015,1323950,1834978,13021886,206962,1561698,20359287,6123,.,.,.,6158110,50746188,1537035
2023,207,Alameda Municipal Power,A,Bundled,O,CA,Municipal,CISO,30526.9,139418,32803,40246.2,210249,4247,.,.,.,.,.,.,70773.1,349667,37050
2023,213,Alaska Electric Light & Power Co.,A,Bundled,O,AK,Investor Owned,NA,20419,161849,15159,13345.3,125314,2423,14141,124527,119,.,.,.,47905.3,411690,17701
2023,219,Alaska Power and Telephone Co,A,Bundled,O,AK,Investor Owned,NA,10301,27163,5685,15036,50039,2683,.,.,.,.,.,.,25337,77202,8368
2023,221,"Alaska Village Elec Coop, Inc",A,Bundled,O,AK,Cooperative,NA,28721.1,44582,7742,44583.6,81702,3827,.,.,.,.,.,.,73304.7,126284,11569
2023,230,Albany Utility Board,A,Bundled,O,GA,Municipal,SOCO,37136.1,332431,28612,53105.7,499615,4497,.,.,.,.,.,.,90241.8,832046,33109
2023,232,City of Albemarle - (NC),A,Bundled,O,NC,Municipal,DUK,15504.1,132610,10713,11789.3,114348,2314,2029.9,24530,12,0,0,0,29323.3,271488,13039
2023,240,Albemarle Electric Member Corp,A,Bundled,O,NC,Cooperative,PJM,25570,178306,12520,4126,33411,1101,576,6471,22,0,0,0,30272,218188,13643
2023,241,Albertville Municipal Utilities Board,A,Bundled,O,AL,Municipal,TVA,12221,115077,8218,20078,182647,2369,21595,334145,15,0,0,0,53894,631869,10602
2023,261,AGC Division of APGI Inc,A,Bundled,O,IN,Investor Owned,MISO,.,.,.,.,.,.,131739,2153615,2,.,.,.,131739,2153615,2
2023,276,Alcorn County Elec Power Assn,A,Bundled,O,MS,Cooperative,TVA,25654,203028,14954,20375,151782,4152,14025,244215,7,0,0,0,60054,599025,19113
2023,295,City of Alexandria - (MN),A,Bundled,O,MN,Municipal,MISO,8847,81482,8682,3888.9,34909,1717,14447.8,170378,214,.,.,.,27183.7,286769,10613
2023,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,KS,Cooperative,SWPP,394,3727,212,645,4740,709,646,7164,7,.,.,.,1685,15631,928
2023,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,OK,Cooperative,SWPP,5151,49656,2649,5470,37596,4700,25883,329834,224,.,.,.,36504,417086,7573
2023,298,City of Alexandria - (LA),A,Bundled,O,LA,Municipal,MISO,36810,284437,19883,44844,357848,3838,534,4781,7,.,.,.,82188,647066,23728
2023,305,Alger-Delta Coop Electric Assn,A,Bundled,O,MI,Cooperative,MISO,11549.7,51212,9792,2524.2,16403,526,4015,31953,1,0,0,0,18088.9,99568,10319
2023,307,Algoma Utility Comm,A,Bundled,O,WI,Municipal,MISO,1433.4,10739,1656,1872.2,16437,382,561.2,6237,1,0,0,0,3866.8,33413,2039
2023,392,Alpena Power Co,A,Bundled,O,MI,Investor Owned,MISO,13810.4,86730,13752,12439.2,89312,2995,9185,131635,3,0,0,0,35434.6,307677,16750
2023,407,Altamaha Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,35762.1,230703,19464,27955.3,332501,1958,1248.4,8987,250,.,.,.,64965.8,572191,21672
2023,416,City of Altus - (OK),A,Bundled,O,OK,Municipal,SWPP,13049,99401,9138,6816,63371,1138,3062,39458,8,.,.,.,22927,202230,10284
2023,471,Amana Society Service Co,A,Bundled,O,IA,Investor Owned,MISO,1045,6741,709,1246,8831,179,5568,54986,1,.,.,.,7859,70558,889
2023,540,BP Energy Company,B,Energy,O,WA,Retail Power Marketer,PSEI,0,0,0,0,0,0,82247,830991,2,0,0,0,82247,830991,2
2023,540,BP Energy Company,D,Bundled,O,TX,Retail Power Marketer,ERCO,0,0,0,0,0,0,47006,557112,3,0,0,0,47006,557112,3
2023,554,City of Ames - (IA),A,Bundled,O,IA,Municipal,MISO,21512.6,176503,24832,29388,346593,3099,12301.2,147808,9,.,.,.,63201.8,670904,27940
2023,562,Amicalola Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,82491.7,687463,49088,16458.6,122967,5918,.,.,.,.,.,.,98950.3,810430,55006
2023,571,City of Amory,A,Bundled,O,MS,Municipal,TVA,4105,34774,2754,5911,46848,1172,2153,23989,3,0,0,0,12169,105611,3929
2023,577,City of Alcoa Utilities,A,Bundled,O,TN,Municipal,TVA,46453,384256,27394,27400,233762,4561,154,1071,1,0,0,0,74007,619089,31956
2023,590,City of Anaheim - (CA),A,Bundled,O,CA,Municipal,CISO,106124,605013,105422,122100,693975,17500,120366,812130,290,.,.,.,348590,2111118,123212
2023,604,City of Andalusia,A,Bundled,O,AL,Municipal,SOCO,6541,41151,3616,9986,58393,1065,11901,210858,2,.,.,.,28428,310402,4683
2023,636,City of Anderson - (IN),A,Bundled,O,IN,Municipal,PJM,38416.6,301720,30466,30038.3,279470,4260,23587.4,265632,59,.,.,.,92042.3,846822,34785
2023,689,Connexus Energy,A,Bundled,O,MN,Cooperative,MISO,173341.7,1278410,132260,65758.9,628364,11945,14748.5,187128,428,.,.,.,253849.1,2093902,144633
2023,690,City of Bardstown - (KY),A,Bundled,O,KY,Municipal,LGEE,3934,40688,3447,4979,51634,1349,6841,85998,15,.,.,.,15754,178320,4811
2023,691,City of Anoka,A,Bundled,O,MN,Municipal,MISO,12458,79209,11546,9841,84159,1315,12954,105433,17,.,.,.,35253,268801,12878
2023,719,Town of Apex- (NC),A,Bundled,O,NC,Municipal,CPLE,30767,254099,26550,13319,131007,1881,.,.,.,.,.,.,44086,385106,28431
2023,727,Appalachian Electric Coop,A,Bundled,O,TN,Cooperative,TVA,77860,608071,43143,30866,240612,7471,5303,80597,7,0,0,0,114029,929280,50621
2023,733,Appalachian Power Co,A,Bundled,O,VA,Investor Owned,PJM,901124,5674429,462259,455994,3505353,81781,466196,4542224,1940,0,0,0,1823314,13722006,545980
2023,733,Appalachian Power Co,A,Bundled,O,WV,Investor Owned,PJM,713278,4451267,350279,350135,2980175,67014,313381,3894836,2190,0,0,0,1376794,11326278,419483
2023,733,Appalachian Power Co,C,Delivery,O,VA,Investor Owned,PJM,0,0,0,464,46869,48,347,272524,5,0,0,0,811,319393,53
2023,750,Arab Electric Coop Inc,A,Bundled,O,AL,Cooperative,TVA,23382,194980,13811,12160,99395,2823,396,3729,2,0,0,0,35938,298104,16636
2023,803,Arizona Public Service Co,A,Bundled,O,AZ,Investor Owned,AZPS,2289196.4,14947956,1228022,1831339.4,14334300,140199,217076.3,2088056,2709,0,0,0,4337612.1,31370312,1370930
2023,814,Entergy Arkansas LLC,A,Bundled,O,AR,Investor Owned,MISO,996757.1,7667932,605244,604708.5,5778573,100156,635470.3,9072042,24149,1,6,1,2236936.9,22518553,729550
2023,814,Entergy Arkansas LLC,A,Bundled,O,TN,Investor Owned,MISO,3,25,1,3.3,19,3,1.8,6,3,.,.,.,8.1,50,7
2023,817,Arkansas Valley Elec Coop Corp,A,Bundled,O,AR,Cooperative,SWPP,91276.8,716919,53654,20447.2,181962,4107,15921.1,292538,43,0,0,0,127645.1,1191419,57804
2023,817,Arkansas Valley Elec Coop Corp,A,Bundled,O,OK,Cooperative,SWPP,7217.9,57543,4231,3383.6,31378,525,0,0,0,0,0,0,10601.5,88921,4756
2023,944,City of Athens - (AL),A,Bundled,O,AL,Municipal,TVA,77018,693208,48040,44424,377500,7869,32292,437886,14,0,0,0,153734,1508594,55923
2023,947,Athens Utility Board,A,Bundled,O,TN,Municipal,TVA,17296,150252,11553,17740,142126,2452,19026,332428,7,0,0,0,54062,624806,14012
2023,963,Atlantic City Electric Co,A,Bundled,O,NJ,Investor Owned,PJM,753490.9,3660971,467475,274241.1,1590376,52686,11179,102991,328,0,0,0,1038911,5354338,520489
2023,963,Atlantic City Electric Co,C,Delivery,O,NJ,Investor Owned,PJM,27221,280752,36416,129109.9,2368048,12838,17236.8,429879,230,0,0,0,173567.7,3078679,49484
2023,970,Homefield Energy,B,Energy,O,IL,Retail Power Marketer,MISO,62377.9,1125648,101616,225227.4,2898645,2568,35338.4,528992,109,512.1,4028,1,323455.8,4557313,104294
2023,994,City of Auburn - (IN),A,Bundled,O,IN,Municipal,PJM,7243.2,62758,6761,1695,24132,904,31458,237690,174,.,.,.,40396.2,324580,7839
2023,1009,City of Austin - (MN),A,Bundled,O,MN,Municipal,MISO,11993,79654,10775,15262,122576,1218,11551,126295,1,.,.,.,38806,328525,11994
2023,1015,Austin Energy,A,Bundled,O,TX,Municipal,ERCO,671416.8,5165079,490069,618056,5801393,54208,233236.8,3430519,123,0,0,0,1522709.6,14396991,544400
2023,1050,City of Azusa,A,Bundled,O,CA,Municipal,CISO,19397,96429,14935,16183,82302,1954,11095,62610,28,.,.,.,46675,241341,16917
2023,1149,Baldwin County El Member Corp,A,Bundled,O,AL,Cooperative,SOCO,143859,1087927,80262,55081,528852,8097,.,.,.,.,.,.,198940,1616779,88359
2023,1167,Baltimore Gas & Electric Co,A,Bundled,O,MD,Investor Owned,PJM,1649879,10019433,1002775,454733.1,2693030,74591,19007.6,119225,3695,0,0,0,2123619.7,12831688,1081061
2023,1167,Baltimore Gas & Electric Co,C,Delivery,O,MD,Investor Owned,PJM,125442.9,2006584,205157,388549.2,11541187,48143,29938.8,1158741,2428,1316.2,174171,3,545247.1,14880683,255731
2023,1169,Bailey County Elec Coop Assn,A,Bundled,O,TX,Cooperative,SWPP,5747,23282,952,66234,226193,482,13118,65453,21,.,.,.,85099,314928,1455
2023,1175,"Bandera Electric Coop, Inc",A,Bundled,O,TX,Cooperative,ERCO,60858,500119,34818,20014,184838,6315,1811,20906,55,.,.,.,82683,705863,41188
2023,1179,Versant Power,A,Bundled,O,ME,Investor Owned,NBSO,50092.8,201160,29162,32093.2,135012,7157,1980,13731,11,0,0,0,84166,349903,36330
2023,1179,Versant Power,A,Bundled,O,ME,Investor Owned,ISNE,191674.7,629802,101243,72694.9,434858,16457,4499,35434,29,0,0,0,268868.6,1100094,117729
2023,1179,Versant Power,C,Delivery,O,ME,Investor Owned,NBSO,12.9,121,20,3562.3,37373,398,6103.9,145192,5,0,0,0,9679.1,182686,423
2023,1179,Versant Power,C,Delivery,O,ME,Investor Owned,ISNE,5254.9,40556,7038,14644,139894,3469,10866.6,211318,31,0,0,0,30765.5,391768,10538
2023,1196,Village of Baraga - (MI),A,Bundled,O,MI,Municipal,MISO,396.8,2702,550,2004.1,14943,236,0,0,0,0,0,0,2400.9,17645,786
2023,1251,Barron Electric Coop,A,Bundled,O,WI,Cooperative,MISO,28551,205022,19114,2981,27493,219,7578,99010,164,.,.,.,39110,331525,19497
2023,1273,"Bartlett Electric Coop, Inc",A,Bundled,O,TX,Cooperative,ERCO,30532.1,193948,10716,9638.2,59308,3742,.,.,.,.,.,.,40170.3,253256,14458
2023,1283,Bartholomew County Rural E M C,A,Bundled,O,IN,Cooperative,MISO,22493,150124,11341,6253.1,46703,719,21753.5,224172,12,0,0,0,50499.6,420999,12072
2023,1300,City of Bartow - (FL),A,Bundled,O,FL,Municipal,FPC,19509.3,153756,11044,10262.3,90212,1517,7930.4,66086,288,.,.,.,37702,310054,12849
2023,1307,Basin Electric Power Coop,A,Bundled,O,ND,Cooperative,SWPP,.,.,.,.,.,.,57326.3,950023,1,.,.,.,57326.3,950023,1
2023,1325,City of Batavia - (IL),A,Bundled,O,IL,Municipal,PJM,12260,86944,9944,15751,132337,1363,16690,183048,10,.,.,.,44701,402329,11317
2023,1366,City of Bay City - (MI),A,Bundled,O,MI,Municipal,MISO,19431.5,122047,17982,18683.9,128037,2226,6508,52509,135,0,0,0,44623.4,302593,20343
2023,1456,Town of Bedford - (VA),A,Bundled,O,VA,Municipal,PJM,11436.7,80813,5944,4872.7,36824,972,4919.9,47831,2,0,0,0,21229.3,165468,6918
2023,1458,"Beauregard Electric Coop, Inc",A,Bundled,O,LA,Cooperative,MISO,84307,631467,39787,22400,177083,4452,47260,686938,4,.,.,.,153967,1495488,44243
2023,1529,"Beltrami Electric Coop, Inc",A,Bundled,O,MN,Cooperative,MISO,39641.5,281363,20551,12557.5,154312,1612,18.5,66,17,.,.,.,52217.5,435741,22180
2023,1578,Benton County,A,Bundled,O,TN,Municipal,TVA,14487,106241,8648,7787,53444,1868,2904,31981,3,0,0,0,25178,191666,10519
2023,1579,PUD No 1 of Benton County,A,Bundled,O,WA,Political Subdivision,BPAT,66809,763742,49607,39892,574647,6668,27963,500052,988,.,.,.,134664,1838441,57263
2023,1581,City of Benton - (AR),A,Bundled,O,AR,Municipal,MISO,15693,155306,12947,6299,73112,1777,4064,52401,27,.,.,.,26056,280819,14751
2023,1582,City of Benton - (KY),A,Bundled,O,KY,Municipal,TVA,3008,22173,1874,3877,30639,683,1064,13499,1,0,0,0,7949,66311,2558
2023,1586,City of Bentonville - (AR),A,Bundled,O,AR,Municipal,SWPP,32386,272767,24169,38226,420449,3633,.,.,.,.,.,.,70612,693216,27802
2023,1591,"Big Country Electric Coop, Inc",A,Bundled,O,TX,Cooperative,ERCO,13257.2,88745,9341,27607,249398,3480,1466.7,11498,697,0,0,0,42330.9,349641,13518
2023,1611,"Messer Energy Services, Inc.",B,Energy,O,DE,Retail Power Marketer,PJM,0,0,0,0,0,0,7559,178965,1,0,0,0,7559,178965,1
2023,1611,"Messer Energy Services, Inc.",B,Energy,O,IL,Retail Power Marketer,MISO,0,0,0,0,0,0,9775,171457,3,0,0,0,9775,171457,3
2023,1611,"Messer Energy Services, Inc.",B,Energy,O,ME,Retail Power Marketer,ISNE,0,0,0,0,0,0,5134,90947,1,0,0,0,5134,90947,1
2023,1611,"Messer Energy Services, Inc.",B,Energy,O,NY,Retail Power Marketer,NYIS,0,0,0,0,0,0,11,283,1,0,0,0,11,283,1
2023,1611,"Messer Energy Services, Inc.",B,Energy,O,OH,Retail Power Marketer,PJM,0,0,0,0,0,0,7256,186961,4,0,0,0,7256,186961,4
2023,1611,"Messer Energy Services, Inc.",B,Energy,O,PA,Retail Power Marketer,PJM,0,0,0,0,0,0,25756,589821,3,0,0,0,25756,589821,3
2023,1613,Berkeley Electric Coop Inc,A,Bundled,O,SC,Cooperative,SC,205468,1461635,109170,218450,3168992,15102,3838,37349,10,0,0,0,427756,4667976,124282
2023,1625,Benton Rural Electric Assn,A,Bundled,O,WA,Cooperative,BPAT,20496.8,236784,12991,11261.5,171501,1581,13180.1,212687,1390,.,.,.,44938.4,620972,15962
2023,1640,City of Bessemer Utilities,A,Bundled,O,AL,Municipal,TVA,12434,104876,9439,17596,150051,1783,658,9038,1,0,0,0,30688,263965,11223
2023,1708,Big Sandy Rural Elec Coop Corp,A,Bundled,O,KY,Cooperative,PJM,20182,145962,11593,3844,31815,1033,1646,17308,10,.,.,.,25672,195085,12636
2023,1723,"Big Bend Electric Coop, Inc",A,Bundled,O,WA,Cooperative,BPAT,10209.3,116715,5410,9885.8,120937,2033,22358.7,327285,2503,0,0,0,42453.8,564937,9946
2023,1738,Bonneville Power Administration,A,Bundled,O,OR,Federal,BPAT,.,.,.,234.3,6298,1,.,.,.,.,.,.,234.3,6298,1
2023,1738,Bonneville Power Administration,A,Bundled,O,WA,Federal,BPAT,.,.,.,24600.9,660727,7,7384.3,534686,3,.,.,.,31985.2,1195413,10
2023,1763,"Black River Electric Coop, Inc - (SC)",A,Bundled,O,SC,Cooperative,SC,55807.1,437531,30253,15954.1,126254,4242,11033.5,127958,13,.,.,.,82794.7,691743,34508
2023,1764,Black Diamond Power Co,A,Bundled,O,WV,Investor Owned,PJM,4975.5,32418,3479,1949.4,13864,454,.,.,.,.,.,.,6924.9,46282,3933
2023,1769,"Black Hills Electric Coop, Inc",A,Bundled,O,SD,Cooperative,SWPP,17492.3,122503,9154,4929.3,35015,1936,535.7,3073,95,0,0,0,22957.3,160591,11185
2023,1775,Black River Electric Coop - (MO),A,Bundled,O,MO,Cooperative,AECI,34614,288070,21385,15150,136650,3532,1509,23819,3,.,.,.,51273,448539,24920
2023,1776,City of Black River Falls,A,Bundled,O,WI,Municipal,MISO,2782.9,18857,2255,4330,34466,556,0,0,0,0,0,0,7112.9,53323,2811
2023,1780,Black Warrior Elec Member Corp,A,Bundled,O,AL,Cooperative,SOCO,34852.6,259836,20096,13360.9,100235,6561,524.2,4454,2,.,.,.,48737.7,364525,26659
2023,1857,Block Island Utility District,A,Bundled,O,RI,Political Subdivision,ISNE,2844,7346,1622,2753,6987,376,0,0,0,0,0,0,5597,14333,1998
2023,1884,BENCO Electric Cooperative,A,Bundled,O,MN,Cooperative,MISO,33400,219615,18213,12054,91856,1531,8361,81319,20,.,.,.,53815,392790,19764
2023,1886,Blue Grass Energy Coop Corp,A,Bundled,O,KY,Cooperative,PJM,99024,789068,59622,21257,175841,3132,25417,329178,14,.,.,.,145698,1294087,62768
2023,1889,Blue Ridge Elec Member Corp - (NC),A,Bundled,O,NC,Cooperative,DUK,105620,720260,71216,31788,257417,8759,6460,77714,7,.,.,.,143868,1055391,79982
2023,1890,Blue Ridge Electric Coop Inc - (SC),A,Bundled,O,SC,Cooperative,DUK,127818.9,776274,66079,19401.9,191861,5301,19312.7,148582,58,.,.,.,166533.5,1116717,71438
2023,1891,Blue Ridge Mountain EMC - (GA),A,Bundled,O,GA,Cooperative,TVA,44137,322262,30117,25260,174537,8085,0,0,0,0,0,0,69397,496799,38202
2023,1891,Blue Ridge Mountain EMC - (GA),A,Bundled,O,NC,Cooperative,TVA,22883,167213,15574,8253,48519,4227,1442,27178,1,0,0,0,32578,242910,19802
2023,1892,"Bluebonnet Electric Coop, Inc",A,Bundled,O,TX,Cooperative,ERCO,180193.8,1627377,108769,81774,989976,16169,38254,746991,1587,.,.,.,300221.8,3364344,126525
2023,1896,City of Bluffton - (IN),A,Bundled,O,IN,Municipal,PJM,4930,47109,4946,3361,31206,995,16138,199173,37,.,.,.,24429,277488,5978
2023,1936,Bolivar Energy Authority,A,Bundled,O,TN,Municipal,TVA,16269,120916,8921,10870,75768,2439,1282,18605,1,0,0,0,28421,215289,11361
2023,1997,City of Boscobel - (WI),A,Bundled,O,WI,Municipal,MISO,1286,11670,1425,2767.3,29840,337,0,0,0,0,0,0,4053.3,41510,1762
2023,2001,Boone Electric Coop,A,Bundled,O,MO,Cooperative,AECI,54568,418905,33394,9889,94141,1323,4315,43458,7,.,.,.,68772,556504,34724
2023,2008,City of Boulder City - (NV),A,Bundled,O,NV,Municipal,WALC,9641,95234,7124,5892,49705,926,114,935,6,0,0,0,15647,145874,8056
2023,2010,City of Bountiful,A,Bundled,O,UT,Municipal,PACE,18747,156458,15652,9636,87594,1647,2695,36430,1,0,0,0,31078,280482,17300
2023,2049,"Bowie-Cass Electric Coop, Inc",A,Bundled,O,TX,Cooperative,SWPP,65079,468279,34490,14443.4,110237,4960,4512.9,41943,8,.,.,.,84035.3,620459,39458
2023,2054,City of Bowling Green - (OH),A,Bundled,O,OH,Municipal,PJM,14645,94839,12947,8530,57224,1727,36308,341262,78,.,.,.,59483,493325,14752
2023,2056,City of Bowling Green - (KY),A,Bundled,O,KY,Municipal,TVA,31229,269585,26746,47289,445650,5294,8958,125700,5,0,0,0,87476,840935,32045
2023,2089,Bozrah Light & Power Company,A,Bundled,O,CT,Municipal,ISNE,4618,23255,2427,1697,8012,378,20847.6,174214,14,0,0,0,27162.6,205481,2819
2023,2144,Town of Braintree - (MA),A,Bundled,O,MA,Municipal,ISNE,18226,115293,14027,30445,181033,2720,2653,17465,5,.,.,.,51324,313791,16752
2023,2194,City of Brenham - (TX),A,Bundled,O,TX,Municipal,ERCO,8298.4,80951,5974,7215.1,81314,1351,8648.6,117134,24,.,.,.,24162.1,279399,7349
2023,2212,"Broad River Electric Coop, Inc",A,Bundled,O,NC,Cooperative,DUK,928,6203,483,15.5,105,9,.,.,.,.,.,.,943.5,6308,492
2023,2212,"Broad River Electric Coop, Inc",A,Bundled,O,SC,Cooperative,DUK,41719.4,274943,22688,5790.5,41695,1250,6164.7,73643,9,.,.,.,53674.6,390281,23947
2023,2247,City of Bristol - (TN),A,Bundled,O,TN,Municipal,TVA,45621,428898,29384,36302,309228,4819,6965,104321,8,0,0,0,88888,842447,34211
2023,2248,Bristol Virginia Utilities,A,Bundled,O,VA,Municipal,TVA,20688,189492,13566,19752,171558,2832,4825,73623,3,0,0,0,45265,434673,16401
2023,2273,Brodhead Water & Lighting Comm,A,Bundled,O,WI,Municipal,MISO,1756.3,13486,1556,1333.5,11169,312,896.2,8960,2,0,0,0,3986,33615,1870
2023,2285,City of Brookings - (SD),A,Bundled,O,SD,Municipal,WACM,11678,107786,10227,4533,39741,1561,14481,178744,166,0,0,0,30692,326271,11954
2023,2394,Burke-Divide Electric Coop Inc,A,Bundled,O,ND,Cooperative,SWPP,3082,41437,1795,1638,13674,346,18037,140679,1339,.,.,.,22757,195790,3480
2023,2409,Brownsville Public Utilities Board,A,Bundled,O,TX,Municipal,ERCO,80533,616828,47548,85402,681299,6532,0,0,0,0,0,0,165935,1298127,54080
2023,2411,City of Brownsville,A,Bundled,O,TN,Municipal,TVA,5558,49980,4104,6622,56346,1296,4824,74463,3,0,0,0,17004,180789,5403
2023,2442,City of Bryan - (TX),A,Bundled,O,TX,Municipal,ERCO,91045,810817,56480,70456.2,748097,10204,4782.8,152110,18,.,.,.,166284,1711024,66702
2023,2487,City of Buford,A,Bundled,O,GA,Municipal,SOCO,5353.4,36972,2939,10832.5,72650,1003,11747.2,100989,17,.,.,.,27933.1,210611,3959
2023,2502,"Buckeye Rural Elec Coop, Inc",A,Bundled,O,OH,Cooperative,PJM,37136.5,198901,16465,3924.4,18323,2147,1404.1,9399,88,.,.,.,42465,226623,18700
2023,2507,City of Burbank Water and Power,A,Bundled,O,CA,Municipal,LDWP,48931,285810,46688,116486,707061,7041,.,.,.,.,.,.,165417,992871,53729
2023,2548,City of Burlington Electric - (VT),A,Bundled,O,VT,Municipal,ISNE,15684.8,87265,17620,27919.6,165363,3957,8258,65691,9,.,.,.,51862.4,318319,21586
2023,2643,Butler Public Power District - (NE),A,Bundled,O,NE,Political Subdivision,SWPP,7520,67649,4745,3506,37172,596,9869,106878,1141,0,0,0,20895,211699,6482
2023,2651,Butler Rural Electric Coop Inc - (OH),A,Bundled,O,OH,Cooperative,PJM,30781,174827,11267,2363,14680,465,1581,13191,8,.,.,.,34725,202698,11740
2023,2652,Butler County Rural Elec Coop - (IA),A,Bundled,O,IA,Cooperative,SWPP,9980.5,65795,3888,8.1,21,10,17774.1,204697,1197,.,.,.,27762.7,270513,5095
2023,2678,C & L Electric Coop Corp,A,Bundled,O,AR,Cooperative,MISO,32032,243987,19997,11917,95954,2270,1527,15364,10,.,.,.,45476,355305,22277
2023,2774,CMS Electric Coop Inc,A,Bundled,O,KS,Cooperative,SWPP,4342,25718,3191,13766,93428,2591,7342,80147,84,.,.,.,25450,199293,5866
2023,2812,City of Calhoun - (GA),A,Bundled,O,GA,Municipal,SOCO,6516.9,45991,4444,10149.1,70622,1231,21496.9,233382,20,.,.,.,38162.9,349995,5695
2023,2830,Calpine Power America LLC,B,Energy,O,CA,Retail Power Marketer,CISO,.,.,.,55936,1284655,4,.,.,.,.,.,.,55936,1284655,4
2023,2830,Calpine Power America LLC,B,Energy,O,ME,Retail Power Marketer,ISNE,.,.,.,.,.,.,270,8743,1,.,.,.,270,8743,1
2023,2830,Calpine Power America LLC,D,Bundled,O,TX,Retail Power Marketer,ERCO,.,.,.,.,.,.,9165,210084,1,.,.,.,9165,210084,1
2023,2849,Central Electric Power Assn - (MS),A,Bundled,O,MS,Cooperative,TVA,55504,461184,30732,32984,258277,7897,13340,196975,8,0,0,0,101828,916436,38637
2023,2903,Canoochee Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,40770.5,308924,23330,8175.2,90495,425,6725.7,63246,823,.,.,.,55671.4,462665,24578
2023,2911,"Canadian Valley Elec Coop, Inc",A,Bundled,O,OK,Cooperative,SWPP,43264,369549,24231,23447.1,247940,2859,13402.2,227148,12,.,.,.,80113.3,844637,27102
2023,2960,"Caney Fork Electric Coop, Inc",A,Bundled,O,TN,Cooperative,TVA,48791,383656,29053,19593,126793,6130,4479,66260,3,0,0,0,72863,576709,35186
2023,2985,"Capital Electric Coop, Inc",A,Bundled,O,ND,Cooperative,SWPP,26641,242988,19277,15406.4,147478,2887,206.8,1077,61,.,.,.,42254.2,391543,22225
2023,3046,Duke Energy Progress - (NC),A,Bundled,O,NC,Investor Owned,CPLE,2214844.5,15616376,1321846,1378570.8,13016315,217172,571269.8,7631112,2850,0,0,0,4164685.1,36263803,1541868
2023,3046,Duke Energy Progress - (NC),A,Bundled,O,SC,Investor Owned,CPLE,283706,1933986,143074,193515.5,1630877,32745,150958.9,2062721,441,0,0,0,628180.4,5627584,176260
2023,3075,Carroll County - (TN),A,Bundled,O,TN,Municipal,TVA,19823,169555,12280,12685,104794,3204,9934,192581,2,0,0,0,42442,466930,15486
2023,3081,Carroll Electric Member Corp - (GA),A,Bundled,O,GA,Cooperative,SOCO,97149,716097,52344,17212,132312,3043,20582.6,273429,38,.,.,.,134943.6,1121838,55425
